guess_id,group_id,match_id,user_id,home_team,home_team_score,away_team_score,away_team,predicted_home_score,predicted_away_score
12379,1,A1A2,0694f736-eecc-4451-8a2e-21509473445b,Qatar,0,2,Ecuador,1,1
19489,1,A1A3,0694f736-eecc-4451-8a2e-21509473445b,Qatar,1,3,Senegal,0,2
50070,1,A2A3,0694f736-eecc-4451-8a2e-21509473445b,Ecuador,1,2,Senegal,2,1
12375,1,A3A4,0694f736-eecc-4451-8a2e-21509473445b,Senegal,0,2,Netherlands,0,2
50071,1,A4A1,0694f736-eecc-4451-8a2e-21509473445b,Netherlands,2,0,Qatar,3,0
50069,1,A4A2,0694f736-eecc-4451-8a2e-21509473445b,Netherlands,1,1,Ecuador,2,1
133903,1,A4B3,0694f736-eecc-4451-8a2e-21509473445b,Netherlands,3,1,USA,2,0
140326,1,A4C1,0694f736-eecc-4451-8a2e-21509473445b,Netherlands,2,2,Argentina,2,0
133908,1,B1A3,0694f736-eecc-4451-8a2e-21509473445b,England,3,0,Senegal,1,1
12376,1,B1B2,0694f736-eecc-4451-8a2e-21509473445b,England,6,2,Iran,2,0
94561,1,B1B3,0694f736-eecc-4451-8a2e-21509473445b,England,0,0,USA,2,1
140327,1,B1D1,0694f736-eecc-4451-8a2e-21509473445b,England,1,2,France,1,2
94563,1,B2B3,0694f736-eecc-4451-8a2e-21509473445b,Iran,0,1,USA,0,2
94559,1,B3B4,0694f736-eecc-4451-8a2e-21509473445b,USA,1,1,Wales,2,2
94562,1,B4B1,0694f736-eecc-4451-8a2e-21509473445b,Wales,0,3,England,0,2
94560,1,B4B2,0694f736-eecc-4451-8a2e-21509473445b,Wales,0,2,Iran,1,0
94565,1,C1C2,0694f736-eecc-4451-8a2e-21509473445b,Argentina,1,2,Saudi Arabia,3,0
94570,1,C1C3,0694f736-eecc-4451-8a2e-21509473445b,Argentina,2,0,Mexico,2,1
143418,1,C1D1,0694f736-eecc-4451-8a2e-21509473445b,Argentina,2,2,France,2,0
133906,1,C1D2,0694f736-eecc-4451-8a2e-21509473445b,Argentina,2,1,Australia,2,0
142433,1,C1F4,0694f736-eecc-4451-8a2e-21509473445b,Argentina,3,0,Croatia,1,1
94574,1,C2C3,0694f736-eecc-4451-8a2e-21509473445b,Saudi Arabia,1,2,Mexico,0,2
94566,1,C3C4,0694f736-eecc-4451-8a2e-21509473445b,Mexico,0,0,Poland,1,1
94573,1,C4C1,0694f736-eecc-4451-8a2e-21509473445b,Poland,0,2,Argentina,1,2
94569,1,C4C2,0694f736-eecc-4451-8a2e-21509473445b,Poland,2,0,Saudi Arabia,1,2
133907,1,D1C4,0694f736-eecc-4451-8a2e-21509473445b,France,3,1,Poland,2,1
95727,1,D1D2,0694f736-eecc-4451-8a2e-21509473445b,France,4,1,Australia,3,0
95729,1,D1D3,0694f736-eecc-4451-8a2e-21509473445b,France,2,1,Denmark,3,1
